,clean
26,ugurdundarsozcu sayın ugurdundarsozcu saygıdeğer insansınız ancak itirazımız sadece lı muharrem i̇nce yok ümit özdağ yok rte yok cem uzan yok çağrınızı yapın gelmeyen gelmesin cesareti olan gelsin tartışsın
27,usamsum lı moruk kılıçdar siyasi deha amq
28,adnun sadece  oyuyla ulkeyi yonetecegim tavirlari bile li denen olusumun epic fail olmasina yeter artar aksam  saat konustuktan sonra yaptigi aciklama  yil mithat pasanin dedigi yazik devlete millete yazik
29,anayasa maddesi zamanında yapilirsa erdoğan olamaz diyor açık net erdoğanın koltuk değneği li erdoğana kol kanat gerip seçimi erkene çekiyor bunlar resmen iktidarın yandaşı takım tutar parti tutmaya devam edin uyumaya devam türkiye
30,erken seçime li destek vercek boylelikle sözde muhalefetin erdoğana çalıştığı tescillendi
31,si̇zden adam çikmaz şimdi kemal kılıçdaroğlu pkk bağı diyemiyor muyuz sn suleymansoylu bakanım ekremimamoglu chp lı resmen atatürkün kurduğu türkiye cumhuriyetini yıkacak bunlara veren cahi̇l hai̇ndir oyumuzerdoğana
32,halk ciddi ciddi ülkenin kurtuluşunu lı masada görüyorsa gelecek olumlu düşünmenin hiçbir anlamı yok lı masaya vereceğinize direkt erdoğana verin sancısız şekilde sonumuzu yaşayalım
33,basbugatilla lı bişey kalmadı çıkartamıyorlar
34,ahmetbeyefendi ülkenin cumhuriyetin hali ortada geleceğinin olacağını ortalamanın üstünde iqte sahip herkes tahmin ederken lı leşe üşüşen akbaba misali sen ben kavgası yapıyor üstelik ülkeyi bitme noktasına getiren iktidarın benzer söylemleri
35,lı nefret sıralamam ali ahmet temel kılıçdar meral meralden ölümüne nfret ediyorum gerisini düşünün
36,seçimi davutoğlu kazanırsa devlet cblı yedili kararname yönetilecekmiş doğru anladım artıran pazarda aklı başında kimse yok
37,pusholder lı adayımız muharrem ince hadi inş
38,ecapaaklinizi lı milletin umudunu boşa çıkarmaz umarım
39,cerrahpasaii lı adına konuşuyor hayal değil gerçek bunlar partili cb kukla babacan davutoğlu karamollaoğlu onaylamadan adam atamayacak  sene dayanamaz tekrar erken olur rte gene başa geçer
40,adayımız seçildiği lı öyle böyle lağvedilmeli
41,melik yiğitel melikyigitel lı toplantısına dair kulis bilgisi paylaştıne dediredquestionmark smallbluediamondkılıçdaroğlu masadakilerden olmalı ben istiyorum olmaz derseniz ali beye adaylık yakışır demiş memo düşünüyorsunuzredquestionmark rolledupnewspapernededinet takip edin haberiniz olsun
42,millet ittifaki iyi li kötü fikir
43,lı kazanırlarsa kimin yöneteceği belli değil lı yı kaldırıyorsun çıkıyor altından hepsinin konuyla ilgili farklı fikirleri yönetme yetkisi geldiğinde gör cümbüşü
44,haberreport lı secimden gün sonra açıklayacak adayını fava bekle
45,nasuhbektas i̇şte sultanımız lı demokrasisi değil diyordu iyi böyle muhalifler bunları duyuyoruz
46,haberreport böyle giderse lı masadan sadece herhalde
47,aykiricomtr suç sende değil sana söz hakkını verecek kadar imkan sunanda kaç kişiyi temsil ediyor lı adına konuşuyor
48,hilalkoylu tarz otoriter rejimlerde ittifakı sıklıkla yapılır böyle ittifaklar çeşitli sıkıntı risklerle karşılaşır riskleri gündeme getirenleri salt lı savunusuyla susturmanın kimseye faydası yok birbirlerinden değil seçmenlerden mal kaçırmasınlar
49,bence seçimlerle ilgili muhalilerin yapması gereken altılı yapıyorsa yapsın diyip bırakmak seçilebilecek  kişi belirleyip er bin imza kişileri yapmak olmalı bakalım lı ilk ikiye kalabiliyor
50,moneybaganket sonuçları ortaya çıktıkça medya kuruluşlarında hareketlilik başladı roundpushpinne tesadüf değil mi dostlar pushpinlı gelsin tartışsın diyorlar yahu adamlar rakip değil neyi tartışacaklar cowboyhatface bence sn rterdogan sn kilicdarogluk medyayı analiz etmeli
51,davutoğlu lı kafayı yemiş manyak bunlar lider  tane cumhurbaşkani seçilmiş tam zi̇llet odtü buzammemurahakaret cumhurbaşkanı sinan ateş özel milliselamet trmillitakip millitakip kilicdarogluk meralaksener alibabacan eczozgurozel faikoztrak
52,ahmetbeyefendi ahmetdavutoglu alibabacan meralaksener kilicdarogluk akpsiz iktidara mühür üstüne mühür vururuz diyorsunuz eey lı liderleri milletin iradesi mi oluyor oyla çoğunluğa pranga vurmak eski partinizden kalan alışkanlığınız olmalı
53,lı ilk seçimi kazanmaya yönelik adım açıkladıortak listelerisandık güvenliği başkan üzerine çalışmalara başlayacağını duyurdu geçen  senedeseçimi kazanmak girişimin olmadığını sayede öğrenmiş olduk avdevrimdinç
54,lordsinov lı denen oluşum kadar enteresan  partinin oyu yok onlar konuşuyor alan kazanmaktan korkuyor  alanda  nin kalbi kırılmasın üzülmesin elinden geleni yapıyor iktidar tarihin kolay seçimini kazanacak
55,haskologlu yok abi lı bana vermeyin bağırdıkça bağırıyor sonunda moy yok bunlara dedirtecekler çıkmış oranına bakmadan böyle konuşabiliyor
56,lordsinov gayet mantıklı lı zaten parlamenter sistemi savunuyor şuan ucube adam sistemini değil parlamenter sistemde cumhurbaşkanı sembolik makamdır ülkeyi başbakan yönetir
57,siyasi akıl mantık sahibi olmayanlar tarihinin öne alınıp rte nin olmasına izin verirlerse donki̇şot luk yapmış olacaklar türk milleti buna tahammül edemez anayasaya uygun olarak  haziranda yapılmalıdır lı aklını başına almalıdır
58,cumhurbaşkanına yetkiler halk tarafından referandum verildi lı diyor cb olarak senin yetkin olabilir bizim kurallarımız yasalar cumhurbaşkanına verilen yetki altılı onayı kurallarına bağlı hukukun üstünlüğü halkın iradesi
59,magirus lordsinov buna oligarşi denir lı şuan mevcut sistem kötü bi sistem demektir
60,alpertemuri kritik makama atanacak ismi lı belirliycekmişfacewithtearsofjoyherkes kendi adamı atansın istiycek sonunda anayasa kitapçığı birinin kafasına fırlatılacakdolar  sana özlenen lar türkiyesifacewithtearsofjoy
61,lordsinov lı almamak şeyi yapiyor zaten moy yok yallajhhhhhh
62,evrojegemen abim lı seçimden sonra dağılacak zaten reisi gönderelim sonrasını düşünürüz
63,pablitonuz li fb olmaya başladı
64,baba senin seçmenin cumhurbaşkanı adam seni dinleyecek lı tamamen zarar bence bunlardan yarar gelmez ülkeye
65,ugurdundarsozcu li tam saçmalık neutralface
66,hdp altından sufle veriyor sanırken lı hdpyi bile şaşırtan hareketlerde bulunup amacının muhalefeti sarı bile olsa bitirip erdoğanı başta tutmaya çalıştığını gösterdi şimdide seçimi nisan öncesine aldırıp farklı operasyonlar peşindeler umitozdag zaferpartisi
67,türkiyeli değilim türk’ümkemal kılıçdaroğluali babacan ahmet davutoğlu’nun türk karşıtı bölücü fikirlerinin düşmanıyımlı sevr masasıdır
68,haciykk sizin kutsal dinimizi bile kendi igrenc niyetlerine alet edinen kadari olmaz burda duralim diyebilecekleri hic kutsali etik degeri olmayan les yiginlarina karsi dikkatli davraniyor li sizde hasetinizden yariliyorsunuz
69,ankahabera komedi filmi çıkmayacak lı
70,ülkede karar alınacağı zaman lı beklenecek zaman şekilde kukla olmayı kabul edecek merak ediyorum
71,atuncayozkan kafayı yediniz iyice gene kazanamayacaksınız… seçilecek cumhurbaşkanını lı yönetecek… kararrlarına imza atmazsa ülkeyi yönemeyecek sanırım allah sizi bildiği yapsın
72,ülkenin gündemi olmamalı ekonomi düşen alım gücü fakirlik olmalı li yeni sistemi planlamalı tartışması suni gündemdir
73,toplantının özeti backhandindexpointingdown lı durum komedisi facewithtearsofjoy
74,haskologlu olmaz öyle şeymilletin çoğunluğunun ittifaki önemlidir yüzde  lik partiler masadan atılsın saçmalamaya başladılarmilletin ekseriyesini temsil etmeyenler milletin istikbaline karar veremezlı lü masaya düşürülsün gelecek deva masadan atılsın işe maydonoz oluyor
75,lı açıklamamaya devam etsin gidişle açıklanamadan cv kararı alacak ortada kalıcaklarfacewithtearsofjoy
76,secimtr demek lı toplanacak toplanacak şunun bunun masadan karar çıkması bekleniyor artık tahsil değiştirmiyor insanı önce ülkeni seveceksin
77,drrnilay yüzde  dediğin saraydan beslenenler olmasınlı sağlam adımlarla ilerliyoraz kaldı
78,astrologlar kadar milleti kerizleyen baska hic kimse yok ogun  lider dediler kadin kesinlikle li kazanacak dedi tamam buraya kadar mantikli sonrada tayyip bey yeni parlamenter sistem kuracak yeni hukumettin koalisyon ortağı dedi
79,kilicdarogluk ahmetdavutoglu li olarak bunada tepki koydunuzmu merak içerisindeyiz yoksa türkiye yi bölgelere ayırıp anayasadan turkluk ibaresini çıkarırız diyemi topladınız
80,karargahhaber lı direk sevr antlaşmasını imzalar
81,fatihportakal lı varken  garanti becerip ilk turda sonuca ulaşamazlar facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
82,aslanlenes liboşlar lı akp kazansın bütün kartları oynuyor tb
83,sistemde yüzde  bile önemli lı liderleri kendilerine kapı aralayan diğer partilerle temas etse iyi olur
84,li gosterme tarihini kacirir gidisle gorunen koye tarif aramaya calisiyorlar hala demis kemal sunal gorunen koy uzakta degildir macera aramayin aciklayin mansur yavasi herkes rahatlasin
85,gulsansucak ihsandagi ülke ilk azınlıkta olanın bile sözünün dinlendiği söz hakkı verildiği masaya sahip demokrasi seslilik ortadoğu kafalılara fazla geliyor belli lı ülkeyi bizyon olarak kuzey avrupa kafasına taşıyabilir sizlere inat…
86,jhonpritzker yirmiucderece lı şuan diyor baraj erdoğan seç birini mhp baraj kalırsa erdoğan cumhurbaşkanı seçilse bile meclis çoğunluğu millet ittifakına geçer büyük fark oluşur istedikleri yasayı geçirirler meclisten
87,lı sözler size iyi duyun sonra duymadık demeyin
88,krizanteim içip içip dini şeyleri tartısmak lı masahandshakebizim tayfa
89,haskologlu li oldu millete tasa der anayasadan türklüğü çıkaracaz diğeri der federasyon yönetim şekli meralaksener hanım bence masayı devirsin
90,ihsanaktas yihhuuuuu lı yine huzurunuzu kaçırdı dimi kaybedince şöyle twitler yazarsınız… “akp’nin kaybedeceği görünüyordu ben yazılarımda aktardım uyardım beyfendiyi yanındakiler yanılttı” bla bla siyasette ‘enseyi karartma taktiği’ önemlidir
91,naciahmetakinci babacan olabilir haklısınama durum sefer ekmeleddine benzemez seçimi kazanacaklar uzun sürmeyecek geç  tekrar erdoğansız tabela partisine dönmüş akp enkazın üstüne enkaz koymuş lı rprefahpartisi arasında
92,ggelmekteolan sayın kemal kılıçtaroğlu cumhurbaşkanı olmayı sonuna kadar hakediyor lı onun sayesinde kuruldu kerede ülkenin başına sosyal demokrat gelsin dünya yıkılmaz
93,lı kalkı osmanlı tokadını yemenize alın size yiğit  cumhurbaşkanımızdoubleexclamationmark
94,korkutatamga turk zaman evrenle uğraşırdı lı
95,ataturkveash zaytgays umitozdag ümit özat knk yok ersun yanal birde seçimi kaybettikden sonra vekil çıkarmanın anlamı şuan lı kazanır kazanmaz erdoğan olamasa kesin kazanırlar
96,drrnilay  milyonluk ülkeyi olsalarla bulsalarla yönetenler başkalarını öyle sanıyorlar dünkü  saatlik lı toplantısı yandaşları baya korkutmuşa benziyor kaldı
97,bysabri huu sabri akin duymuyorsun görmüyorsun bari düşünmeye çalış zor olmasa gerek senin bile garantin yok farkında değilsin isimsiz ihbar fetö pkk suçlanabilir suçlanan akraban çıkar i̇şte karanlıktan kurtarma amacında lı adalet çökerse
98,barisyarkadas lı bildirisifacewithtearsofjoy
99,eminekmen peki sorabilir miyim olduda hükümet gitti lı geldi tekrar işçi zammı yoksa nasılsa kabullendiler devam diyeceksiniz
100,fkorkusuz scsazak gelişmiş güçlendirilmiş parlementer sistemilı liderliği cb yok başkan parlemento takar  maaşlı adamı
101,cuneytozdemir lı lafını duyunca midem bulanıyor artık tam akıl tutulması
102,zgdekli haticekrdr ugurdundarsozcu kendince açıklama uydurmuş tweetlerinin genel lı davet mesajina yapilan begeni yorum sayilarina bakinca mp lililerin baskisina dayanamayip gönülsüz aciklama oldugu belli üstelik
103,lı istihzalarınızı gözden kaçmıyor vaktin kıymetini bilin tadımı çıkarın gecegörüşü mhulkicevizoglu zafersahin melikyigitel ismetozcelik cnntürk
104,teopolitik düşünsenize yok sürecine girmişiz kadar sönük umursamaz olurdu allah tan lı varda gülüp eğlenecek birşeyler bulabiliyoruz
105,firatsoylemez ankarakusu argosu küfürü kabalığı olmayan tatil bile yapmayan dürüst iyi kalpli kılıçdaroğlu son yıllardaki başarıları yadsınamaz i̇mamoğlu nu bulan zaten belediyelerdeki başarısı eyt maaş zamları hak yürüyüşü lı masa…
106,muratagirel olayı ele alınca arkasında duranların sol li tayfası olması yeterli hdppkk fetonun işlediği cinayetleri örs bas edip bunun üzerinde durmanız öldürülenin kimligini ortaya koyuyor demekki neymiş ölenle değil algıyla olayı irdeliyorsunuz
107,ufukuras erdoğan giderse lı sayesinde siyasette kalite artacaktır tahminim biribiriyle defalarca yemek yemişler rakip olduklarında kalleşlik yapamazlar herhalde
108,umuthgj inceproduction vekilince ekrem baya potansiyeli aldı fazla öne çıktı lı meral akşener harici büyük akpliler dolu olduğu olamayacak aynı sekılde mansur yavaşda cıkamayacak çare muharrem ince özcan
109,bodura alt yapıda bakan yok ölen öldürüldü nokta burası eski mhp li olduğu vatan sever oluyor hain olmuş olabileceği ihtimali tabiki sol kesimi ilgilendirmiyor neticede li hdppkk feto işbirliğiyle çalıştığı
110,fatihportakal muhalefette lı olmamış olsaydı dediğin erime olabilirdi
111,lı liderleri salak satılmış sı  adam etmez
112,umutbozdag haber lı millet ittifakı mi
113,iyiparti cumhurbaşkanı rterdogan i̇n seçimi birazcık öne alabiliriz açıklaması lı apar topar  saat toplanıp cumhurbaşkanı çıkarmak istihaşare kararı aldı yoksa çıkaramayacaklardı rterdogan  lı 
114,böyle cumhurbaşkanı kukla spastik olur ülke böyle yönetilemez lı ülkeyi felakete götürür
115,lı
116,zaytgays umitozdag hdpyi çağırınca sorun yok akpye destek vererek seçimi erkene aldıklarında soeun yok ümit özdağ akpyide lı masayıda eleştirdiğinde akpli oluyor değil mi facewithtearsofjoy
117,cuneytozdemir zamanlar umuttu şimdi külfet oldu ali babacan davutoğlundan hayır gelmiş masaya gelsin adamlar resmen iktidar olmamak gücüyle çalışıyorlar seçimde ak partiyi geçemezlerse zor geçerler lı masaya nede ak partiye vermiycm
118,nesrinnas pkknın lı iradesi
119,vekilince lı tarafında ondan
120,milletin sosyal demokratı muhafazakırı milliyetçisi sağcısı solcusu piyon cb seçmez lı sadece güçlendirilmiş parlementer sisteme geçiş kuruldu
121,asghdkl devamını seçimden sonra yaparlar kesin “lı başarısız oldu” altyazı geçerler
122,foxhaber li kendine kukla ariyor
123,tgrthabertv cemkucuk ahmetsozcan li kendine kukla ariyor
124,srkclk lı kazanırsa yeni ralli başlar bence para politikası’da zaten hemen öyle değişmez
125,enginozkoc demokrasi diyorsunuz halk umrunuzda degil lı cb adayını seçiyor
126,emrekarabacakkk haskologlu aminakoyim li savunuyon seni alirlar
127,canankaftanci bunlar li birbirlerinin kuyusunu kazıyor haberiniz yok
128,sonunda lı erdoğanı gösterecekler korkuyorum ahahahahahaha
129,ugurdundarsozcu degil li babalarnizla gelseniz türkiye size teslim olmayacak yasasin erdogan
130,makulturk kimsenin konuşmadığı detay ittifakın adı millet halk gözünde artık onlar lı peki pusulada lı seçeneği görmeyince hatalı iletişim stratejisi yapılıyor aziz nesinin haklılığını kanıtlanacak
131,lı atatürke diktatör dedi
132,lı erdoğan’ı seçti
133,kucukkayaismail türkiyekazansın i̇smail bey sorum davutoğluna hdp ittifakta olmazsanız ucube sistem dediğiniz sistemden kurtulursunuz bence kurtuluş reçetesi olmazsa olmazı hdp dir günümüz siyasetin kiliti hdp lı iyi düşünsün
134,kilicdarogluk adalet ahlak sizi lı sevmiyor güvenmiyor çete memlekette mesela hdp yanlıṣ bilmiyorsam sizin masanızın altında ahlak nede şehide saygi sizlerde proje yok bilgi yok belge yok birde ülkeyi yöneteceksiniz bence kocaman sifir size
135,lı oyu i geçmeyen partilerin rant aracı olmuştur bunu başımıza bay kemal bela etmiştir
136,hdp haziran  halayını maddi destek almadığı seçimde çektirmişti aşağılık hazine yardımı bloke kararın arkasında yine halay asıl sıkıntı hala lı şakamaka cepteki seçimi kaybettirecekler ana muhalefet işini yapsın herkes eleştiriyor bana mısın demiyorlar
137, yılında hareketli dünyada başkanlık kalıplara sığmazhızlı kararlı kararlar alınmalıekmeleddin i̇hsanoğlu dışarıdani̇nce içeriden kazanamadı yıllık chp kültürbirikim lı organizasyonu kemal kiliçdaroğlunun olmasını gerektirir türkiyekazansın
138,ozanblk lı maşa hdp uşakları gözünüz yiğit görsün karizma görsün birde sizin adayınız komedyen eko kemal kıyaslayın fark dimi böyle akıllı yiğitlerin liderine bakın milleti hafife almayın
139,otoriter akpmhp i̇le demokratik lı karar alırken aynı yolları izlemediği lı eleştiriliyor muhaliflerin önemli bölümü otoriterliğe karşı değil rteye karşı
140,organiksever srkclk li adayini bilerek aciklamiyorbelirleyememe sorunu degilki
141,ugurdundarsozcu leş topluluğudur cumhuriyetin ilk  maddesini tartışacağız diyenler türklüğü kaldıracağız diyenlerle işim olmaz lı klavuzu belli klavuzu karga olanın burnu boktan çıkmaz
142,eczozgurozel  yıldır gece gündüz çalışanhayatını milletine heba eden lideri bırakıp senin gereksizgevşek kılıçtaroğlu sözünde durmayan nmssz birisine mi üllkeyi teslim edeceğizi̇nsan namus sözü veripte yerine getirmiyorsa namussuzdurölüme reis
143,lı hırslı ben kadar hırslı siyasetçiyi birarada görmedim  seçimleri i̇çin şimdiden çalışmaya başlamışlar upsidedownface
144,faiktunay kılıçdaroğlu adaylığını açıklamak istiyor meral akşener  kaybetmiş birisin otur oturduğun yerde diyorkılıçdaroğlu buna rağmen açıklarsa i̇mamoğlu ablası meral akşener gizliden kaybetmesi uğraşacaklarki dahaki sefere imamoğlu olsun lı dağılmış
145,comezturhan sen önce beyin tedarik et bencefetö yüzünden sıkıntı çeken şahsınşimdi onlarla beraber kolkola girmişsincelladına aşık olmuşsun turan efendiallah sana beyin nasip etsin
146,generalx hocam lı yapacam jasmyflokigrtmaskorn sonuncuyu diyin winkingface
147,muharrem ince vs li olsa muharrem ince hepsinin icinden gecer
148,lı programa katılma kararı veresiye dönemi geçer zaten
149,ugurdundarsozcu muharrem i̇nce size yapmıştı başta çağrıyı sonra bunu hatırlatan herkesi engellemeye başladınız lı yan yana gelse erdoğan binali yıldırımı tartışmaya çağırmak kapıyı herkese aralayınız sn bezmenler
150,millet ittifakindan ricamız adayını seçimden önce açıklaması lı sistem üzerinde çalışıyor anlıyoruz burası i̇sveç norveç değil sandıkgeliyor secilozer
151,emirkunt vekilince bıraksın muhalefet etmesin atatürke muhalif olan lı kolayca başa geçsin akp nin yapamadığını yapsın tapusuyla versin
152, yıllık demokrasi mi lı mustafa kemal düşmanlığı üzerine mutakabat yaptı tayyipin gözüne kestiremediğini bunlar yapacak aq
153,cuneytozdemir lı toplantılarını sen oturduğun yerden tivit atmak sandın
154,türkiyekazansın sn davutoğlu  yıllık siyasi birikim sonunda ulaşılan lı kazaya uğrarsa bizi yaralayıcı olur farkli goruslerdesiniz olgunluğu gosterebileceginizi garanti ediyormusunuz liderler olarak soruyorum
155,tselmanoglu lı adayi facewithtearsofjoy
156,su li boyle saatlerce toplanip son kk gosterirse cok gulerimkesk kadar mesai harcamasaydinizbeamingfacewithsmilingeyes
157,lı değil lı çöp kadar saçma görmedim boş vermişlik nasılsa bize verirler havası başka seçenek yok havası sıkıldım gerçek istiyoruz boş konuşma değil lımasa chp iyiparti deva gelecek çöp gecmis atatürk
158,lı özel çabalarıyla seçimi zora sokacak sanırım dünya üzerindeki çapsız parti araya geldi reis ballıydı yine ballı
159,ben çevremde onlarca insan lı kk yi çıkarırsa vermeyeceğiz mansur ekrem dışında lı çoğu insandan alamaz  küsür yıldır kaybedip hala ana muhalefet partisinin koltuğunu bırakmayan geldiği günden beri oyu artıramayan adama kimse vermemizi beklemesin
160,foxhaber lı  kere toplansa boşaçözüm burda seçimisonrasısgklıbelirleyecek
161,ugurdundarsozcu li icin bosa enerji harciyorsunuz kendileri birbirleriyle sorunlarini konusamiyorlar sizin sorulariniza nasil cevap versinki yayindan kovmak zorunda kalirsiniz
162,bahadir oğlum lı nedir böyle yönetimi olur lan gerzek ülkeyi yönetemezhadi kazandılar sonra birbirlerini yerler şeyi çöker
163,dünkü açıklama koalisyon protokolüdür şubat ortası program kampanya netleşir muhalifler bölünmez lı  alır akpnin umudu seçimi  tura bırakmak geçen onu istiyorduk kaybettik
164,zekibahce peki sizin adayınız rte olamıyor alavere dalavere olabilir mi lı bunun toplantısını yapmıştır
165,meralaksener lı dağılsın amin
166,fatihportakal türk bayrağını kaldırıp röportaj verenlere türk ismini anayasadan silecem diyen li ortağına ses çıkarmayanlar utansın
167,ayralemrullah cuneytozdemir açıkça söyledi lı adayın yıpranmasını istemiyoruz dediler tarihi belli olunca açıklarlar
168,aykiricomtr olay tehlikeliakp tekrar secilse bunları getirenler olarak geri göndermezlerli kazansa zaten oradaki partiler anadil sorunuanayasa maddeözerk bölge derken yine geri göndermezler güven vermiyorlargaliba artık ortadoğu kafasında yaşamaya alismaliyiz
169,ihsanaktas senin araştırma yapan şunu bilmesi gerek sandıkta sayın erdoğan na rakip millet önemli değil li milleti araya getirdi
170,günaydın değerli halkımız galiba  mayısta esad görüşmenin tarihi belli değil lı ay sonunda  bin  kıdem tavanı yüzde  zam yansıyınca artacak panik yapmayın konutta faiz paraya göre artıyormuş baskette çöktük  gün kaldı koçero kolay gelsin
171,i̇nsan utanır beee lı size söylüyorum cüneyt özdemir bile sizin karşınızda haklı olabiliyor
172,yani̇ ni̇ye limasa di̇ye zorluyorsunuz olmaz i̇se koltuk olur sandalye olur çekyat olur si̇zden adam çikmaz
173,aefakibaba meralaksener iyiparti lı kazandığı takdirde ilk sevinen dağ daki pkk nedemek isteğimi video izleyin görürsünüz
174,milleti̇ttifakı kullansak lı iktidarın kirli siyaset dilinde geçiyor
175,lı cumhurbaşkanı olarak haluklevent profdemirtas göstersin konuyu kapatsın le ikisi kazanır bukadar net günaydın halkım
176,tkaramollaoglu ahmetdavutoglu li yi̇ne fossssssssfacewithtearsofjoy
177,meralaksener ahmetdavutoglu li yi̇ne fossssssss facewithtearsofjoy
178,lı belirleyecek tanesi bile ülkenin derdinde değil anayasaya dincilik sokmak türklüğü çıkarmak kürtlere özerklik vermek tarikatları hukuki yapmaya almak acil ihtiyaçlar çocuk kadın hayvan hakları doğa ekonomi üniversiteler bilim dışişleri
179,müslüman toplumda halihazırda özgürce olması gerekirken inançsız azınlık kesimin dayattığı faşist olgulardan korumak başörtüsüne getirilmek istenen anayasal özgürlüğe lı hayır oyu verecekmiş bunlara veren başörtülüler suratlarına sümkürmeli balgamı hakediyorsmirkingface
180,müslüman toplumda halihazırda özgürce olması gerekirken inançsız azınlık kesimin dayattığı faşist olgulardan korumak başörtüsüne getirilmek istenen anayasal özgürlüğe lı hayır oyu verecekmiş bunlara veren başörtülüler suratlarına sümkürmeli balgamı hakediyorsmirkingface
181,hafta oldu oldu yoksa lı milletyasayıbekliyor
182,profesorsteam kemal müdür lı iktidar olmak istemiyor
183,haciykk hacı lı sen kendini yıprattın haberin yok
184,maliguller li kuruldu sesleri çıkmıyor
185,saadetpartisi tkaramollaoglu utanmıyorsun değil mi temoşçuğum lı demeye pkklı kahpeleri yapmayı düşünüyorsunuz biliyoruz mücadele etmeye devam edeceksinizgrinningfacegrinningfacegrinningface
186,turkcupaylasim devammı lı die bağıranlarfacewithtearsofjoyallahtan ümit özdağ
187,lı artık milli güvenlik sorunudur
188,muhabir garibanyatrmc size tavsiyem budur mesela dün seanstan sonra lı belirleme görüşmelerine başlayacağız şeklinde açıklama yaptı bugün piyasalara olumlu yansıyabilir
189,bbcturkce seçilirsinbeamingfacewithsmilingeyesli ayakları seni destekklerse
